Symbol,CompanyName,ISIN, Sector
ALPA,Alpa Laboratories Limited,INE385I01010,EQ
ALPHAGEO,Alphageo (India) Limited,INE137C01018,EQ
ALPSINDUS,Alps Industries Limited,INE093B01015,BE
AMBER,Amber Enterprises India Limited,INE371P01015,EQ
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,EQ
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,EQ
AMBUJACEM,Ambuja Cements Limited,INE079A01024,EQ
AMDIND,AMD Industries Limited,INE005I01014,EQ
AMJLAND,Amj Land Holdings Limited,INE606A01024,EQ
AMNPLST,Amines & Plasticizers Limited,INE275D01022,EQ
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,EQ
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,EQ
ANANTRAJ,Anant Raj Limited,INE242C01024,EQ
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,EQ
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,EQ
ANGELONE,Angel One Limited,INE732I01013,EQ
ANIKINDS,Anik Industries Limited,INE087B01017,EQ
ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,BZ
ANMOL,Anmol India Limited,INE02AR01019,EQ
ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,BZ
ANTGRAPHIC,Antarctica Limited,INE414B01021,EQ
ANUHPHR,Anuh Pharma Limited,INE489G01022,EQ
ANUP,The Anup Engineering Limited,INE294Z01018,EQ
ANURAS,Anupam Rasayan India Limited,INE930P01018,EQ
APARINDS,Apar Industries Limited,INE372A01015,EQ
APCL,Anjani Portland Cement Limited,INE071F01012,EQ
APCOTEXIND,Apcotex Industries Limited,INE116A01032,EQ
APEX,Apex Frozen Foods Limited,INE346W01013,EQ
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,EQ
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,EQ
APOLLO,Apollo Micro Systems Limited,INE713T01028,EQ
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,EQ
APOLLOPIPE,Apollo Pipes Limited,INE126J01016,EQ
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,EQ
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,EQ
APTECHT,Aptech Limited,INE266F01018,BE
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,EQ
ARCHIDPLY,Archidply Industries Limited,INE877I01016,EQ
ARCHIES,Archies Limited,INE731A01020,BE
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,EQ
ARENTERP,Rajdarshan Industries Limited,INE610C01014,EQ
ARIES,Aries Agro Limited,INE298I01015,EQ
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,EQ
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,EQ
ARKADE,Arkade Developers Limited,INE0QRL01017,EQ
ARMANFIN,Arman Financial Services Limited,INE109C01017,EQ
AROGRANITE,Aro Granite Industries Limited,INE210C01013,EQ
ARROWGREEN,Arrow Greentech Limited,INE570D01018,BE
ARSHIYA,Arshiya Limited,INE968D01022,BZ
ARSSINFRA,ARSS Infrastructure Projects Limited,INE267I01010,BE
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,EQ
ARTNIRMAN,Art Nirman Limited,INE738V01013,BE
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,EQ
ARVIND,Arvind Limited,INE034A01011,EQ
ARVINDFASN,Arvind Fashions Limited,INE955V01021,EQ
ARVSMART,Arvind SmartSpaces Limited,INE034S01021,EQ
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,EQ
ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,BE
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,EQ
ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,EQ
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,EQ
ASHIANA,Ashiana Housing Limited,INE365D01021,EQ
ASHIMASYN,Ashima Limited,INE440A01010,BE
ASHOKA,Ashoka Buildcon Limited,INE442H01029,EQ
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,EQ
ASHOKLEY,Ashok Leyland Limited,INE208A01029,EQ
ASIANENE,Asian Energy Services Limited,INE276G01015,EQ
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,BE
ASIANPAINT,Asian Paints Limited,INE021A01026,EQ
ASIANTILES,Asian Granito India Limited,INE022I01019,BE
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,EQ
ASMS,Bartronics India Limited,INE855F01042,EQ
ASPINWALL,Aspinwall and Company Limited,INE991I01015,EQ
ASTEC,Astec LifeSciences Limited,INE563J01010,EQ
ASTERDM,Aster DM Healthcare Limited,INE914M01019,EQ
ASTRAL,Astral Limited,INE006I01046,EQ
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,EQ
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,EQ
ASTRON,Astron Paper & Board Mill Limited,INE646X01014,BE
ATALREAL,Atal Realtech Limited,INE0ALR01029,BE
ATAM,Atam Valves Limited,INE09KD01013,EQ
ATGL,Adani Total Gas Limited,INE399L01023,EQ
ATHERENERG,Ather Energy Limited,INE0LEZ01016,EQ
ATL,Allcargo Terminals Limited,INE0NN701020,EQ
ATLANTAA,ATLANTAA LIMITED,INE285H01022,EQ
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,BE
ATUL,Atul Limited,INE100A01010,EQ
ATULAUTO,Atul Auto Limited,INE951D01028,EQ
AUBANK,AU Small Finance Bank Limited,INE949L01017,EQ
AURIONPRO,Aurionpro Solutions Limited,INE132H01018,EQ
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,EQ
AURUM,Aurum PropTech Limited,INE898S01029,EQ
AUSOMENT,Ausom Enterprise Limited,INE218C01016,BE
AUTOAXLES,Automotive Axles Limited,INE449A01011,EQ
AUTOIND,Autoline Industries Limited,INE718H01014,EQ
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,EQ
AVALON,Avalon Technologies Limited,INE0LCL01028,EQ
AVANTEL,Avantel Limited,INE005B01027,EQ
AVANTIFEED,Avanti Feeds Limited,INE871C01038,EQ
AVG,AVG Logistics Limited,INE680Z01018,EQ
AVL,Aditya Vision Limited,INE679V01027,EQ
AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,BE
AVROIND,AVRO INDIA LIMITED,INE652Z01017,EQ
AVTNPL,AVT Natural Products Limited,INE488D01021,EQ
AWFIS,Awfis Space Solutions Limited,INE108V01019,EQ
AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,EQ
AWL,AWL Agri Business Limited,INE699H01024,EQ
AXISBANK,Axis Bank Limited,INE238A01034,EQ
AXISCADES,AXISCADES Technologies Limited,INE555B01013,BE
AXITA,Axita Cotton Limited,INE02EZ01022,EQ
AYMSYNTEX,AYM Syntex Limited,INE193B01039,EQ
AZAD,Azad Engineering Limited,INE02IJ01035,EQ
BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022,BE
BAGFILMS,B.A.G Films and Media Limited,INE116D01028,EQ
BAIDFIN,Baid Finserv Limited,INE020D01022,EQ
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,EQ
BAJAJELEC,Bajaj Electricals Limited,INE193E01025,EQ
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ
BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,EQ
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,EQ
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,EQ
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,EQ
BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,EQ
BAJEL,Bajel Projects Limited,INE0KQN01018,BE
BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,EQ
BALAJITELE,Balaji Telefilms Limited,INE794B01026,BE
BALAMINES,Balaji Amines Limited,INE050E01027,EQ
BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022,EQ
BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011,EQ
BALKRISIND,Balkrishna Industries Limited,INE787D01026,EQ
BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016,EQ
BALPHARMA,Bal Pharma Limited,INE083D01012,EQ
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,EQ
BALUFORGE,Balu Forge Industries Limited,INE011E01029,BE
BANARBEADS,Banaras Beads Limited,INE655B01011,EQ
BANARISUG,Bannari Amman Sugars Limited,INE459A01010,EQ
BANCOINDIA,Banco Products (I) Limited,INE213C01025,EQ
BANDHANBNK,Bandhan Bank Limited,INE545U01014,EQ
BANG,Bang Overseas Limited,INE863I01016,EQ
BANKA,Banka BioLoo Limited,INE862Y01015,EQ
BANKBARODA,Bank of Baroda,INE028A01039,EQ
BANKINDIA,Bank of India,INE084A01016,EQ
BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025,EQ
BANSWRAS,Banswara Syntex Limited,INE629D01020,EQ
BARBEQUE,Barbeque Nation Hospitality Limited,INE382M01027,EQ
BASF,BASF India Limited,INE373A01013,EQ
BASML,Bannari Amman Spinning Mills Limited,INE186H01022,EQ
BATAINDIA,Bata India Limited,INE176A01028,EQ
BAYERCROP,Bayer Cropscience Limited,INE462A01022,EQ
BBL,Bharat Bijlee Limited,INE464A01036,EQ
BBOX,Black Box Limited,INE676A01027,BE
BBTC,Bombay Burmah Trading Corporation Limited,INE050A01025,EQ
BBTCL,B&B Triplewall Containers Limited,INE01EE01011,EQ
BCLIND,Bcl Industries Limited,INE412G01024,EQ
BCONCEPTS,Brand Concepts Limited,INE977Y01011,EQ
BDL,Bharat Dynamics Limited,INE171Z01026,EQ
BEARDSELL,Beardsell Limited,INE520H01022,EQ
BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01012,EQ
BEDMUTHA,Bedmutha Industries Limited,INE844K01012,EQ
BEL,Bharat Electronics Limited,INE263A01024,EQ
BELRISE,Belrise Industries Limited,INE894V01022,EQ
BEML,BEML Limited,INE258A01016,EQ
